slope_ET,slope_Q,slope_Sed,model
1.66640885,2.030732838,-0.042008056,CNRM_CM5_RCP45
0.243799855,1.298081233,0.068996008,CNRM_CM5_RCP45
2.803028964,1.821163037,-0.054304003,CNRM_CM5_RCP45
1.86460672,1.662596746,-0.003742509,CNRM_CM5_RCP45
2.701949821,1.698772395,-0.061983805,CNRM_CM5_RCP45
3.112948597,1.550717291,-0.062908945,CNRM_CM5_RCP45
0.389635795,0.132965787,-3.58E-05,CNRM_CM5_RCP45
0.361558866,0.00835308,1.12E-07,CNRM_CM5_RCP45
-1.767335253,0.033761522,0.00014323,CNRM_CM5_RCP45
0.003589429,0.005472289,9.34E-07,CNRM_CM5_RCP45
0.220511287,0.218078354,-5.71E-05,CNRM_CM5_RCP45
0.218270243,0.207830132,1.07E-05,CNRM_CM5_RCP45
0.379361237,0.004439244,2.00E-06,CNRM_CM5_RCP45
0.337427527,0.091280758,1.38E-06,CNRM_CM5_RCP45
-1.229365278,0.129532061,0.000356608,CNRM_CM5_RCP45
-0.097970572,-0.057299128,1.27E-05,CNRM_CM5_RCP45
1.535711432,0.069853757,-7.37E-05,CNRM_CM5_RCP45
-1.243208397,0.000954824,6.37E-07,CNRM_CM5_RCP45
1.516816402,0.017994823,0.000197769,CNRM_CM5_RCP45
3.280153516,0.0166598,-1.41E-06,CNRM_CM5_RCP45
2.465123379,-0.000194521,0,CNRM_CM5_RCP45
3.79825104,-2.20E-05,-1.11E-06,CNRM_CM5_RCP45
-0.182682189,0.037291424,0.000830462,CNRM_CM5_RCP45
3.588720763,-0.000545746,1.29E-07,CNRM_CM5_RCP45
3.883443521,0.032236119,9.68E-05,CNRM_CM5_RCP45
2.581957301,-0.00375715,-4.47E-05,CNRM_CM5_RCP45
0.581589088,0.13815971,-0.000681351,CNRM_CM5_RCP45
2.099548217,0.002934923,7.33E-06,CNRM_CM5_RCP45
2.609918851,0.104391648,0.000665133,CNRM_CM5_RCP45
3.487030512,0.02522604,0,CNRM_CM5_RCP45
4.527109381,-0.00124569,6.24E-06,CNRM_CM5_RCP45
0.222386237,0.000516743,2.05E-05,CNRM_CM5_RCP45
1.484705797,-0.0086839,-3.31E-05,CNRM_CM5_RCP45
2.335252298,0.069226465,-5.95E-06,CNRM_CM5_RCP45
3.453988702,0.091200022,-7.04E-07,CNRM_CM5_RCP45
1.892628052,0.013773535,0,CNRM_CM5_RCP45
-0.032746914,1.59891406,-0.008130518,CNRM_CM5_RCP45
0.118651398,0.500500408,0.022857575,CNRM_CM5_RCP45
0.395774301,1.375387824,-0.000101353,CNRM_CM5_RCP45
-2.435071802,0.576179025,-7.93E-05,CNRM_CM5_RCP45
2.262674419,1.021977365,-3.04E-05,CNRM_CM5_RCP45
-0.749896959,2.881653181,0.011045483,CNRM_CM5_RCP45
-0.306977762,0.001924799,-0.002656418,CNRM_CM5_RCP45
0.367437662,0.003853438,3.07E-06,CNRM_CM5_RCP45
-0.611085258,-0.075209537,-0.001063836,CNRM_CM5_RCP45
-0.728515122,0.018089585,0.000413406,CNRM_CM5_RCP45
0.078748496,0.011777214,0.000875078,CNRM_CM5_RCP45
-0.133366123,-0.029191436,-0.000535381,CNRM_CM5_RCP45
