,RunID,interc_ET,slope_ET,interc_Q,slope_Q,interc_Sed,slope_Sed,model
16111,24910142,956.6520147,-0.138018364,-616.5614568,0.377950486,-109.8408408,0.059852806,CNRM_CM5_RCP45
16112,24910143,423.2790512,0.122199586,-362.0131069,0.204785566,-5.381330538,0.002805747,CNRM_CM5_RCP45
16113,24910144,454.048334,0.092258671,-294.7911467,0.164547127,-25.02503105,0.013178466,CNRM_CM5_RCP45
16114,24910145,370.8874397,0.134806412,-265.9779695,0.142154338,-1.913429469,0.000976331,CNRM_CM5_RCP45
16115,24910146,216.2117853,0.215001001,-368.2767989,0.202567777,-12.42280234,0.006291559,CNRM_CM5_RCP45
16116,24910147,422.4480596,0.115971092,-355.9734552,0.194169041,-6.733766743,0.003470041,CNRM_CM5_RCP45
16117,24910148,-12.56097208,0.351621551,-301.1180959,0.167198558,-11.60351399,0.005904685,CNRM_CM5_RCP45
16118,24910149,167.130035,0.251270287,-330.9597543,0.182893661,-4.728788266,0.002473697,CNRM_CM5_RCP45
16119,24910150,528.0573797,0.085086388,-323.7289186,0.178698709,-4.458375112,0.002339468,CNRM_CM5_RCP45
16120,24910151,2.518993729,0.322168767,-445.2501971,0.249810694,-7.349534511,0.003871154,CNRM_CM5_RCP45
16121,24910152,130.0868837,0.256856675,-618.5095796,0.368996422,-226.1031771,0.11606411,CNRM_CM5_RCP45
16122,24910153,66.79518178,0.277271568,-605.5412087,0.331407508,-15.55064685,0.008777443,CNRM_CM5_RCP45
16123,24910154,372.7931461,0.145359923,-431.5406515,0.234804472,-9.842122764,0.005122853,CNRM_CM5_RCP45
16124,24910155,488.3936087,0.06753196,-418.7232148,0.227924597,-2.335037735,0.001208464,CNRM_CM5_RCP45
16125,24910156,167.4737655,0.202585487,-335.8391505,0.184004752,-5.937730033,0.003094974,CNRM_CM5_RCP45
16126,24910157,402.8125549,0.121429729,-320.0254298,0.177123781,-2.011160666,0.001055344,CNRM_CM5_RCP45
16127,24910158,564.0940992,0.058776794,-428.9609084,0.235106859,-13.22119116,0.006943297,CNRM_CM5_RCP45
16128,24910159,289.4739159,0.199944041,-278.8161494,0.153260504,-11.48752518,0.005984453,CNRM_CM5_RCP45
16129,24910160,983.1408888,-0.172221506,-393.6641907,0.214257519,-5.01554107,0.002690474,CNRM_CM5_RCP45
16130,24910161,571.3103129,0.014630641,-481.6937126,0.256894672,-17.15378112,0.008841212,CNRM_CM5_RCP45
16131,24910162,882.2221482,-0.139437103,-493.398368,0.262716285,-9.437196351,0.004820271,CNRM_CM5_RCP45
16132,24910163,672.3668132,-0.020798122,-446.4955651,0.237418364,-15.06718817,0.007702795,CNRM_CM5_RCP45
16133,24910164,1104.958934,-0.214282172,-600.611405,0.324716581,-179.5778329,0.093735152,CNRM_CM5_RCP45
16134,24910165,1054.527452,-0.210877722,-421.1129124,0.22435535,-114.0736175,0.058170774,CNRM_CM5_RCP45
16135,24910166,469.9397617,0.068528125,-408.0411397,0.221070712,-48.23226667,0.02473404,CNRM_CM5_RCP45
16136,24910167,-394.851156,0.509785594,-251.5725622,0.137194052,-7.361559845,0.003739239,CNRM_CM5_RCP45
16137,24910168,821.6744522,-0.081442749,-414.7652667,0.222812679,-4.572886265,0.002322166,CNRM_CM5_RCP45
16138,24910169,9.909254482,0.30952202,-223.0636156,0.121323099,-53.49015725,0.027036902,CNRM_CM5_RCP45
16139,24910170,510.6256622,0.064266223,-332.9762774,0.17841132,-19.81077572,0.010149687,CNRM_CM5_RCP45
16140,24910171,666.6836935,-0.018524726,-346.1309092,0.184434833,-28.57387357,0.014628477,CNRM_CM5_RCP45
16141,24910172,-484.4561934,0.559472792,-178.8295787,0.105981284,-43.36846629,0.022017028,CNRM_CM5_RCP45
16142,24910173,844.9667762,-0.10521264,-403.7452293,0.211793957,-21.63429648,0.011078941,CNRM_CM5_RCP45
16143,24910174,505.0056421,0.064554578,-493.3800837,0.265090905,-86.37591753,0.043808637,CNRM_CM5_RCP45
16144,24910175,181.7796414,0.221486606,-264.3176581,0.147901224,-49.60921411,0.025301185,CNRM_CM5_RCP45
16145,24910176,590.9507219,0.028405534,-428.0350569,0.228634308,-64.05930211,0.032785448,CNRM_CM5_RCP45
16146,24910177,396.8605832,0.077771445,-369.142659,0.195183978,-3.973100347,0.002012757,CNRM_CM5_RCP45
16147,24910178,646.1208709,0.012285761,-335.684157,0.179117872,-7.786386404,0.004070483,CNRM_CM5_RCP45
16148,24910179,195.5978959,0.194162975,-312.1953192,0.168812114,-5.128128829,0.002612383,CNRM_CM5_RCP45
16149,24910180,679.400274,-0.02688082,-450.4345512,0.241684392,-1.545736891,0.000830395,CNRM_CM5_RCP45
16150,24910181,617.929868,0.003712657,-287.2013182,0.152617649,-0.804687547,0.000415815,CNRM_CM5_RCP45
16151,24910182,517.1669639,0.071492995,-504.1212434,0.274718795,-8.093594505,0.004521931,CNRM_CM5_RCP45
16152,24910183,720.4134216,-0.062735678,-373.0752204,0.201963406,-4.575568957,0.002369527,CNRM_CM5_RCP45
16153,24910184,-891.1597492,0.776854841,-499.9450589,0.276642705,-228.0319063,0.115203634,CNRM_CM5_RCP45
16154,24910185,201.9891318,0.200270198,-361.9962186,0.195726409,-4.137526526,0.002162718,CNRM_CM5_RCP45
16155,24910186,517.9963084,0.099395483,-375.6383531,0.201606882,-7.257877683,0.003735018,CNRM_CM5_RCP45
16156,24910187,635.7914415,-0.014307072,-1032.497889,0.578216855,-292.6220128,0.149453203,CNRM_CM5_RCP45
16157,24910188,548.798141,0.064512953,-404.7085629,0.218705406,-4.123138221,0.002134655,CNRM_CM5_RCP45
16158,24910189,880.3460452,-0.082362561,-505.4784076,0.270926688,-39.56779251,0.020818823,CNRM_CM5_RCP45
16159,24910190,993.2683595,-0.17075928,-1195.093307,0.662872166,-59.87967351,0.031386153,CNRM_CM5_RCP45
16160,24910191,-543.4372901,0.583749368,-369.6437899,0.201248854,-8.776262336,0.004440854,CNRM_CM5_RCP45
16161,24910192,-346.6878955,0.483596551,-421.4032885,0.227164563,-15.81627425,0.008037919,CNRM_CM5_RCP45
16162,24910193,232.0390442,0.238634056,-445.4046669,0.238784576,-9.834325255,0.005091911,CNRM_CM5_RCP45
